"","X","grid","month","rat_abun","rat_sd","poss_abun","poss_sd","mouse_abun","mouse_sd","treat","seed","seed_sd","seed_lcl","seed_ucl","p_lcl","p_ucl","r_lcl","r_ucl","m_lcl","m_ucl","grid.id","id"
"1",62,"Kaimai North East",2,14.281,2.24757108268417,58.9472,4.93660174909035,11.4126666666667,1.6340188360989,"Stoat removal",0,0,0,0,49.2714605717829,68.6229394282171,9.87576067793903,18.686239322061,8.20998974791286,14.6153435854205,1,"Kaimai North East 2"
"2",63,"Kaimai North East",5,26.5295333333333,3.23665869576272,54.2974666666667,4.742539371919,11.0182666666667,1.56859715309279,"Stoat removal",0,0,0,0,45.0020894977055,63.5928438356279,20.1856822896384,32.8733843770282,7.94381624660483,14.0927170867286,1,"Kaimai North East 5"
"3",64,"Kaimai North East",8,18.7612,2.75204399366656,95.3053333333333,6.4908946740646,3.95333333333333,0.951708606756133,"Stoat removal",0,0,0,0,82.5831797721667,108.0274868945,13.3671937724135,24.1552062275865,2.08798446409131,5.81868220257535,1,"Kaimai North East 8"
"4",66,"Kaimai North East",16,51.3300666666667,5.00073226142255,80.8036666666667,5.99511323060141,1.01213333333333,0.109484769183668,"Stoat removal",2.56375,4.47090874431586,-6.19923113885908,11.3267311388591,69.0532447346879,92.5540885986455,41.5286314342785,61.1315018990549,0.797543185733341,1.22672348093332,1,"Kaimai North East 16"
"5",68,"Kaimai North East",22,69.6204666666667,5.90962627366586,53.2935333333333,4.4471440260263,1.01353333333333,0.115546840258436,"Stoat removal",0.866666666666667,1.06009882737862,-1.21112703499543,2.94446036832876,44.5771310423218,62.0099356243448,58.0375991702816,81.2033341630518,0.787061526426795,1.24000514023986,1,"Kaimai North East 22"
"6",69,"Kaimai North East",27,21.5637333333333,2.73876580198029,31.9838666666667,3.33247856854067,1.0112,0.105239243408643,"Stoat removal",0.181818181818182,0.404519917477945,-0.611040856438591,0.974677220074954,25.452208672327,38.5155246610064,16.1957523614519,26.9317143052147,0.80493108291906,1.21746891708094,1,"Kaimai North East 27"
"7",70,"Kaimai North East",31,26.5642,3.38275645434538,56.0246,4.2981266965435,1.0116,0.107080364276685,"Stoat removal",0.2,0.632455532033676,-1.039612842786,1.439612842786,47.6002716747747,64.4489283252253,19.9339973494831,33.1944026505169,0.801722486017697,1.2214775139823,1,"Kaimai North East 31"
"8",72,"Kaimai North North",2,26.4147333333333,3.33978141074337,47.9224,4.11386758421237,8.69973333333333,1.34013419459876,"Stoat removal",0.666666666666667,1.15470053837925,-1.59654638855667,2.92987972189,39.8592195349438,55.9855804650562,19.8687617682763,32.9607048983903,6.07307031191976,11.3263963547469,2,"Kaimai North North 2"
"9",73,"Kaimai North North",5,50.3437333333333,5.00016474782474,45.0833333333333,4.08408711220246,7.417,1.22616389545875,"Stoat removal",3.16666666666667,8.75768061172419,-13.9983873323127,20.3317206656461,37.0785225934165,53.0881440732501,40.5434104275968,60.1440562390698,5.01371876490085,9.82028123509915,2,"Kaimai North North 5"
"10",74,"Kaimai North North",8,17.1432,2.61545721963953,66.9153333333333,4.85262830044884,2.6132,0.758523203664001,"Stoat removal",2.5,6.37466576663935,-9.99434490261312,14.9943449026131,57.4041818644536,76.426484802213,12.0169038495065,22.2694961504935,1.12649452081856,4.09990547918144,2,"Kaimai North North 8"
"11",76,"Kaimai North North",16,33.1259333333333,3.78581073920577,52.7048666666667,4.27052441832102,1.32446666666667,0.544065972783698,"Stoat removal",0.416666666666667,1.44337567297406,-2.4123496523625,3.24568298569583,44.3346388067575,61.0750945265759,25.70574428449,40.5461223821766,0.258097360010622,2.39083597332272,2,"Kaimai North North 16"
"12",2,"Kaimai South",2,29.7317333333333,3.61057272620974,37.9394666666667,3.89786462123335,8.864,1.45576278391051,"Control",0.857142857142857,2.38124540321439,-3.81009813315735,5.52438384744306,30.2996520090493,45.5792813242841,22.6550107899622,36.8084558767044,6.0107049435354,11.7172950564646,3,"Kaimai South 2"
"13",3,"Kaimai South",5,14.2465333333333,2.23975201339218,42.4022666666667,4.1063656694807,2.6368,0.773989037778986,"Control",0.166666666666667,0.577350269189626,-0.964939860945,1.29827319427833,34.3537899544845,50.4507433788489,9.85661938708463,18.636447279582,1.11978148595319,4.15381851404681,3,"Kaimai South 5"
"14",4,"Kaimai South",8,7.58013333333333,1.65578624549234,65.1256666666667,5.0981834006982,1.01306666666667,0.113564028965164,"Control",0.384615384615385,0.869718492622904,-1.32003286092551,2.08926363015628,55.1332272012982,75.1181061320352,4.33479229216834,10.8254743744983,0.790481169894948,1.23565216343839,3,"Kaimai South 8"
"15",6,"Kaimai South",16,37.8674,4.03732220306621,25.0767333333333,2.70522948133031,3.9996,0.972314866566716,"Control",1.23076923076923,2.77350098112615,-4.20529269223801,6.66683115377648,19.7744835499259,30.3789831167407,29.9542484819902,45.7805515180098,2.09386286152924,5.90533713847076,3,"Kaimai South 16"
"16",22,"Mokihaha North",2,65.7542,5.0106542623769,23.7549333333333,2.97970931021699,5.85093333333333,0.923888178756866,"Possum + rat removal",0.153846153846154,0.375533808099405,-0.582200110028681,0.889892417720988,17.914703085308,29.5951635813586,55.9333176457413,75.5750823542587,4.04011250296987,7.66175416369679,4,"Mokihaha North 2"
"17",23,"Mokihaha North",5,4.00073333333333,1.50402247361167,5.99673333333333,1.37105117129516,8.488,1.23237869605222,"Possum + rat removal",0.75,1.76454990398015,-2.7085178118011,4.2085178118011,3.30947303759482,8.68399362907184,1.05284928505446,6.9486173816122,6.07253775573765,10.9034622442624,4,"Mokihaha North 5"
